"link","img_src","publisher","price","address","where","info","extra","price_change","more_info_1","more_info_2"
"https://www.yad2.co.il/realestate/item/mus6y8rk?opened-from=feed&component-type=main_feed&spot=standard&location=35","https://img.yad2.co.il/Pic/202409/26/2_6/o/y2_1pa_010879_20240926121517.jpeg?w=3840&h=3840&c=9","תיווך באר שבע","2,300 ₪","שמעון בר גיורא","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎קרקע‏ • 50 מ״ר","המודעה נשמרה","","",""
"","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/jb3ejfeu?opened-from=feed&component-type=main_feed&spot=standard&location=36","https://img.yad2.co.il/Pic/202411/10/2_6/o/y2_6_zUv6CYxkDD_20241110.png?w=3840&h=3840&c=9","ATIYA - שיווק נדל""ן","2,000 ₪","דוד המלך","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 60 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/gq46ubmw?opened-from=feed&component-type=main_feed&spot=standard&location=37","https://img.yad2.co.il/Pic/202402/14/2_6/o/y2_1pa_010445_20240214201756.jpeg?w=3840&h=3840&c=9","יהלום הנדל""ן","2,500 ₪","שכונה ד'","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 50 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/qq26b7wn?opened-from=feed&component-type=main_feed&spot=standard&location=38","https://img.yad2.co.il/Pic/202409/29/2_6/o/y2_1pa_010990_20240929062756.jpeg?w=3840&h=3840&c=9","גרין השקעות ונכסים","2,200 ₪","בנימין מטודלה","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 65 מ״ר","המודעה נשמרה","ירד ב-500 ₪","",""
"https://www.yad2.co.il/realestate/item/quvn04up?opened-from=feed&component-type=main_feed&spot=standard&location=39","https://img.yad2.co.il/Pic/202409/16/2_6/o/y2_7_gn7PIhoe60_20240916.jpeg?w=3840&h=3840&c=9","Remax Beer Sheva","2,500 ₪","דירה","דירה, באר שבע","3 חדרים • קומה ‎1‏ • 64 מ״ר","המודעה נשמרה","בלעדי","",""
"https://www.yad2.co.il/realestate/item/cfarkftc?opened-from=feed&component-type=main_feed&spot=standard&location=40","https://img.yad2.co.il/Pic/202409/12/2_6/o/y2_1pa_010593_20240912171431.jpeg?w=3840&h=3840&c=9","אנגלו סכסון","2,400 ₪","עוזיה המלך","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 48 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/6n8n6ae7?opened-from=feed&component-type=main_feed&spot=standard&location=41","https://assets.yad2.co.il/y2_frontend/global/images/small_image_placeholder.svg","קבוצת חן אבואלגיז","3,800 ₪","אוסוולדו ארניה 91","בית פרטי/ קוטג', שכונה ד', באר שבע","3 חדרים • קומה ‎קרקע‏ • 120 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/zx6mt3c7?opened-from=feed&component-type=main_feed&spot=standard&location=42","https://img.yad2.co.il/Pic/202409/08/2_6/o/y2_1pa_010390_20240908151553.jpeg?w=3840&h=3840&c=9","Remax Beer Sheva","2,800 ₪","אליהו הנביא 2","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎12‏ • 40 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/qcwk4m5j?opened-from=feed&component-type=main_feed&spot=standard&location=43","https://assets.yad2.co.il/y2_frontend/global/images/small_image_placeholder.svg","טל דבש נכסים","3,200 ₪","שלמה המלך","יחידת דיור, שכונה ד', באר שבע","3 חדרים • קומה ‎קרקע‏ • 60 מ״ר","המודעה נשמרה","","",""
